tbill	sp500	micro	ge	ford
0.006758893	3.7503930481	11.11111111	7.18603089	2.2397892
0.006837945	-1.4547458328	-5.18248175	-4.13533835	-0.32216495
0.006837945	-1.6793878901	-4.00307929	-2.67973856	-0.71105365
0.006837945	1.8549938862	5.29270249	0.67159167	2.27864583
0.006837945	2.114353782	4.1507997	2.3682455	1.84595799
0.00687747	-0.5659448819	-0.21937843	-2.08536983	0.9375
0.006837945	0.6562365384	1.7955295	3.4608985	-0.37151703
0.00687747	0.76122488	0.5399568	4.53522033	0.80795525
0.006798419	-1.3293089582	-3.61618332	-2.52307692	0.06165228
0.006758893	-1.0990218705	-3.38038633	-1.38888889	5.11398644
0.006719368	0.5685816943	2.88350634	-0.70422535	3.45838218
0.006719368	1.0183974512	2.09267564	3.22372663	-0.62322946
0.006719368	-1.2086629963	-2.85505124	-1.06183635	-1.88141391
0.006758893	-0.855308077	-1.73323286	-1.70454545	-0.81348053
0.006798419	-0.6411986413	-0.53680982	-2.02312139	0.76157001
0.006798419	-0.7071539629	1.15651503	-0.62274664	-0.75581395
0.006758893	0.6631387309	-3.31554878	-0.19788918	0.35149385
0.006758893	-2.4795247109	-2.9168309	-3.30469266	-1.92644483
0.006798419	0.0009609102	1.13682501	-0.2050581	-2.26190476
0.006798419	0.8849897664	3.3721397	0.34246575	0.18270402
0.006798419	-1.9763787027	0.46601942	-2.83276451	-1.21580547
0.006758893	-0.1574114561	0.15461925	3.09097295	-1.16923077
0.006758893	0.312399638	1.62099575	-0.85178876	1.43212951
0.006758893	-1.6628829773	-0.49373338	-1.82130584	0.18416206
0.006758893	0.6570639305	5.64885496	3.22016101	-0.85784314
0.006719368	-1.0487522788	-2.38439306	-1.6615802	-1.17428925
0.006640316	-0.2268314909	1.92450037	-0.48275862	-3.56472795
0.006600791	2.8691413424	0.76252723	2.73735274	2.91828794
0.006679842	0.0936139823	0.57657658	2.09106239	3.46565848
0.006679842	-1.6535858226	-2.93801505	-2.57680872	-2.61875761
0.006600791	-1.343150423	-0.47988188	-2.1363174	-4.56535335
0.006679842	-1.7042800783	-3.33827893	-2.52945253	-1.31061599
0.006640316	0.3619305659	3.56868764	2.23960185	2.124834
0.006679842	-1.6701587557	-2.22304557	-2.36439499	1.23537061
0.006679842	-0.2673796791	2.23569534	2.70655271	-1.8625562
0.006561265	1.6732920403	1.03780578	-1.52565881	1.57068063
0.006561265	-2.1387727061	-3.70506236	-2.04225352	-2.96391753
0.006640316	-2.1225416817	-2.32380952	-1.22214234	1.52722444
0.006640316	0.6223037897	0.7800312	-0.72780204	-2.87769784
0.006640316	3.6729944758	5.80495356	6.41495601	2.49158249
0.006640316	-1.2183654692	-3.5113387	-0.86117809	-3.41655716
0.006679842	-2.4719032119	0.53070508	-3.85684503	-0.27210884
0.006640316	-3.3961986923	-1.80995475	-4.40910734	-7.43519782
0.006679842	0.7496170435	1.26728111	1.09640832	-5.74797347
0.006640316	-0.6448343164	-1.97193781	4.56245325	-4.30023456
0.006600791	-0.3755195954	-0.11605416	-1.21602289	1.47058824
0.006600791	-1.8509036637	-1.08443067	-2.46198407	-2.33494364
0.006600791	0.5660754323	1.48786218	2.52412769	0.16488046
0.006679842	-2.7018674672	-1.73611111	-1.955105	2.30452675
0.006679842	-3.8352466083	-3.02316451	-4.24667651	-3.29847144
0.006600791	-3.2910645827	-4.12955466	-3.23949094	-0.91514143
0.006600791	-2.7017137281	-9.45945946	-3.34794739	-1.42737196
0.006561265	5.7327316034	7.46268657	6.96907216	4.42930153
0.006482213	-0.5631765529	-7.33506944	0.46260601	-0.57096248
0.006561265	1.6883674345	5.85480094	4.29777437	0.32813782
0.006521739	5.4078138924	6.4159292	9.52906549	4.17007359
0.006640316	0.424935481	-0.33264033	3.79576755	0.54945055
0.006640316	0.9791975897	-0.25031289	1.87702265	2.81030445
0.006561265	-2.9573725895	-4.64240903	-2.47776366	-3.11313591
0.006482213	-2.3082314109	-2.93859649	-6.05863192	-4.62382445
0.006284585	-3.4296028881	-0.94893809	-4.05686546	-5.505341
0.006324111	2.9918523844	3.83211679	4.77050958	3.39130435
0.006363636	2.0010005003	3.11950791	3.72542256	1.00925147
0.006166008	3.2722378731	3.87729016	3.89092118	-2.99750208
0.006245059	0.3512027036	-1.64068909	1.4084507	-0.60085837
0.006245059	-0.5326642014	0.75062552	-0.47348485	-1.72711572
0.006442688	-2.1675149369	-2.93874172	-4.02790993	-1.75746924
0.006324111	4.0047047647	5.67164179	3.07336418	-0.71556351
0.006324111	0.9949761858	0.56497175	-1.09009298	0.36036036
0.006284585	2.3611873769	4.01284109	4.24635332	6.46319569
0.006403162	-1.395813611	-1.85185185	-1.95895522	-1.8549747
0.006245059	1.2726283563	2.43710692	0.15857913	0.77319588
0.006324111	1.4051571585	1.80353031	1.23495883	1.44927536
0.006363636	-2.2686195076	-1.88465888	-1.37629027	-3.19327731
0.006403162	0.7535658865	-0.23050327	-0.53916905	2.51736111
0.006403162	-1.3850941505	-2.42587601	-0.38265306	-1.6088061
0.006482213	-1.8131832866	-2.88082084	-2.04865557	-2.15146299
0.006482213	-0.0076263523	2.43803332	-3.00653595	0
0.006482213	-0.1884942253	-2.97500992	-0.67385445	1.23131047
0.006482213	-4.1536127152	-4.21095666	-5.59701493	-7.03735882
0.006363636	1.7516685269	2.56081946	0.82644628	0.93457944
0.006284585	-1.5950302216	-4.78568456	-2.42337847	-3.24074074
0.006245059	1.6800318489	4.1520979	1.05916728	-4.59330144
0.006403162	1.0112761768	1.84641209	1.69859053	5.91775326
0.006482213	0.7331443253	2.26617223	1.03056148	0.9469697
0.006442688	-0.0142923107	-2.45769541	-0.24621878	2.34521576
0.006521739	-2.4784210237	-2.93267245	-3.45557123	-2.38313474
0.006521739	0.3269779346	1.61702128	-3.39663988	-2.25352113
0.006521739	-1.8307279082	-1.29815745	2.38185255	-1.63304515
0.006561265	-0.4647861526	0.97581672	-1.25553914	-2.05078125
0.006482213	-3.0064637821	-1.17647059	-2.91697831	-3.7886341
0.006403162	0.2454584262	0.55272109	0.77041602	-1.03626943
0.006363636	-1.3827937402	-4.69344609	-1.33792049	-1.15183246
0.006403162	-1.7284394866	0.93167702	-1.89848896	-3.28389831
0.006363636	2.4862991126	1.89010989	4.97630332	6.79079956
0.006403162	1.8209751566	-0.64710958	-2.25733634	1.33333333
0.006403162	-3.2259196444	-2.08423795	-7.27482679	-4.65587045
0.006324111	-1.4612567533	-3.32594235	0.74719801	1.6985138
0.006047431	4.0023059562	5.68807339	6.30407911	1.04384134
0.006126482	-2.3587409041	-1.34548611	-5.34883721	-5.78512397
0.006086957	-1.082243239	-1.75978883	-0.73710074	-1.75438596
0.006047431	-2.2431161854	-2.32870578	-2.47524752	-5.46875
0.006205534	-1.911114442	0.64190738	-4.39932318	-1.88902007
0.006245059	1.6898431133	2.14123007	1.72566372	-8.78459687
0.006205534	-2.7286957611	-2.23015165	-5.78512397	-7.78364116
0.006047431	3.4965755188	5.47445255	2.72391505	6.29470672
0.006086957	3.9058612797	5.3633218	7.14606742	9.42126514
0.006126482	0.7326533544	0.86206897	0.58724832	-4.67404674
0.006086957	4.7335520061	6.06430606	7.58965805	11.87096774
0.006403162	-2.4112927934	-3.60706063	-2.28682171	-6.80507497
0.006403162	2.2301806935	0.71656051	5.03768346	2.72277228
0.006442688	0.5903093722	4.70355731	-0.90634441	-2.65060241
0.006442688	1.7333981614	-1.20800302	1.86737805	15.59405941
0.006561265	-1.0625527942	-1.6048911	-0.29928919	-1.60599572
0.006561265	0.6717893412	2.95145631	-0.60037523	-2.39390642
0.006482213	-1.522083603	-3.69671822	-3.3597584	-3.45596433
0.006403162	1.716713881	2.85938112	0.9375	-1.50115473
0.006324111	-0.8266027962	-1.40898705	0.03869969	0.58616647
0.006126482	-0.9076306123	0.23174971	-1.54738878	-4.8951049
0.005810277	0.9703565153	2.00385356	-2.71119843	2.08333333
0.005810277	-0.555736435	0.68001511	0.40387722	0.48019208
0.005612648	1.7160404624	-0.8630394	2.97666935	-0.35842294
0.005533597	0.8202361925	5.82891749	1.9140625	1.558753
0.005573123	0.7750316508	1.03719599	0	4.01416765
0.005494071	0.9143643693	0.60176991	0.38328862	4.99432463
0.004782609	-2.2852255997	-1.75932442	-1.8327606	-5.83783784
0.004743083	-0.8763086468	-1.64756447	-3.88953715	-0.68886338
0.004743083	-2.0732279768	-2.25782957	-3.52084176	-2.77456647
0.004743083	0.7715221584	1.2295082	-1.51006711	1.54577883
0.004703557	-0.0475678124	1.5458226	1.02214651	-1.28805621
0.004703557	2.4633723499	2.93584632	1.68634064	3.32147094
0.004703557	0.6148606058	-0.52816901	-2.6119403	-1.72215844
0.004743083	-1.0408537859	-1.45132743	-1.06428267	1.75233645
0.004743083	-0.4020613977	-1.79597701	1.24784854	-2.87026406
0.004703557	1.9414769052	3.21872714	3.78240544	4.49172577
0.004743083	2.1451621725	2.16158753	8.27190827	15.49773756
0.004743083	-0.3437714188	0.65903573	-1.5128593	-1.07737512
0.004743083	0.2493149213	0	1.34408602	6.63366337
0.004743083	-2.0967551749	-2.27429359	-1.70519136	-0.55710306
0.004743083	2.7986116434	2.08039492	3.04548959	1.86741363
0.004782609	-0.2726682075	-0.69084629	-0.11223345	3.20806599
0.004743083	-0.1901079771	0	0.29962547	0.62166963
0.004782609	-1.4745380031	-1.70434783	-1.64301718	-12.97440424
0.004743083	-1.5422210155	-0.28308563	-3.56871678	0.60851927
0.004703557	0.6265512106	-2.12916962	0.98425197	-1.41129032
0.004664032	-2.2176424805	0.25380711	-2.10526316	-4.39672802
0.004743083	1.3957399103	-3.50813743	1.67264038	1.81818182
0.004703557	0.05638786	0.89955022	0.82256169	0.6302521
0.004664032	-0.3734971711	1.18870728	-0.93240093	1.77453027
0.004664032	-1.3420883338	-0.88105727	-1.52941176	-1.53846154
0.004703557	2.3519359626	-3.07407407	3.62405416	2.5
0.004743083	-0.8139279438	3.74474589	-1.61414297	-0.6097561
0.004703557	-1.3145217555	-0.22099448	-1.2890625	-1.73824131
0.004664032	-0.7709399407	-1.51347361	-1.02888801	0.72840791
0.004664032	1.3016680803	-0.78710645	2.15913635	0
0.004664032	0.1808520139	-0.15111447	-0.86105675	-1.54958678
0.00458498	-0.5471483652	1.81611805	-1.53967627	-0.31479538
0.00458498	-0.3148565218	-0.33444816	-0.12028869	2
0.004545455	-1.6028595194	-0.78299776	-1.64592533	-2.16718266
0.004466403	0.4557916381	-0.789177	-0.7755102	0.21097046
0.00458498	0.0488975312	-0.41666667	-0.61703003	-3.15789474
0.004664032	3.3199972722	-1.97793838	4.63576159	6.95652174
0.004703557	-0.048403243	3.88048118	-0.3164557	-2.64227642
0.004703557	2.2474383385	0.14942099	2.53968254	3.96659708
0.004664032	-0.6544601242	1.82767624	-0.58049536	0.60240964
0.004624506	-1.4085575287	1.86813187	-1.51810043	-1.09780439
0.004624506	1.9386106624	-2.80474649	1.54150198	2.11907164
0.004664032	0	2.92267851	-0.93421565	2.66798419
0.004624506	-0.1412292334	0.17972682	-0.03929273	0.76997113
0.004624506	0.5829896573	0.82526014	0.27515723	-0.47755492
0.004624506	-1.4425863512	1.03202847	-2.03841631	-2.20729367
0.004624506	-0.3942410316	-1.23282846	-0.6402561	1.27576055
0.00458498	-1.4017056637	-1.60485021	-0.60410793	-2.61627907
0.004545455	-1.5702277717	-7.03153316	-3.28200972	-0.19900498
0.004545455	-1.043239224	-0.27290448	-2.1365731	-3.888335
0.004505929	1.0223598525	-0.62548866	1.71232877	2.80082988
0.004505929	-2.9233439268	2.5177026	-3.7037037	-2.62361251
0.004466403	-1.6159739958	-4.64313124	-0.04370629	-2.9015544
0.004505929	1.3050455468	-1.36820926	0.43725404	1.06723586
0.004545455	0.6778950311	-0.73439412	-0.52242055	-0.84477297
0.004545455	-2.2849275765	2.26058364	-2.10065646	-4.04685836
0.004545455	1.3130320503	-3.37620579	2.63746089	1.10987791
0.004545455	0.5399088466	-1.62229617	2.17770035	0.98792536
0.004545455	-1.4087781291	2.3255814	-2.51491901	-2.06521739
0.004545455	-0.5435038906	-2.56198347	-0.21862702	0.88790233
0.004545455	-0.6448630259	-0.76335878	-0.4820333	-1.10011001
0.004505929	-1.0093658653	0.98290598	-0.83663584	-2.1134594
0.004505929	0.7569092071	-1.73508252	-0.31083481	1.70454545
0.004545455	-0.8098376736	1.67958656	-0.57906459	-1.11731844
0.004545455	-1.2686927159	-1.94832698	-1.12007168	-1.1299435
0.004545455	-0.1600136806	0	-0.36248301	-3.54285714
0.004545455	2.1434601221	1.1663067	1.4097317	2.96208531
0.004545455	1.9499574794	2.77540564	1.92825112	2.76179517
0.004545455	-0.709611476	3.36518488	1.93576771	-1.23180291
0.00458498	-0.9501496811	-1.40675241	0	-1.92743764
0.00458498	1.3224226496	-1.58988993	1.89900734	-2.42774566
0.004624506	-1.8380749142	2.02982601	-1.60948751	-1.77725118
0.004624506	0.7194503831	-2.27365002	2.41067585	-2.5331725
0.004624506	-1.3141419321	0.49854591	-1.76544767	0.37128713
0.004664032	1.1757597728	-2.39768499	2.26786478	2.71270037
0.004664032	0.4622109689	-0.1270648	0.62761506	-0.12004802
0.004624506	-0.7537300125	0.50890585	-0.62370062	-3.00480769
0.004624506	-1.5356787772	-0.67510549	-2.09205021	-4.08921933
0.00458498	0.9562160124	-1.99660153	1.70940171	0.25839793
0.004545455	-0.9339037175	1.60381448	0.6302521	-3.99484536
0.004545455	0.8259335847	-0.72525597	1.46137787	-3.08724832
0.004347826	-2.5829724089	1.24623979	-2.88065844	-3.18559557
0.004189723	-0.8359340169	-2.58913413	-1.05932203	-5.57939914
0.004189723	0.4321057035	-0.65359477	1.92719486	7.27272727
0.004229249	3.4457031299	2.5877193	5.92436975	0.70621469
0.004347826	0.1646832552	5.47242411	1.74533915	-5.18934081
0.004347826	3.5426692429	0.77016619	2.417154	6.36094675
0.004426877	0.4242051948	4.30410298	0.49486106	5.0069541
0.004426877	0.8736799585	0.42421905	2.1969697	1.05960265
0.004466403	0.1887828654	1.07526882	-0.4818384	-1.70380079
0.004505929	2.2976692133	-0.26595745	4.283054	6.93333333
0.00458498	-3.5231471662	1.21904762	-4.53571429	-5.73566085
0.004545455	1.2161114518	-4.8174633	0.93527871	0.92592593
0.004545455	-0.5475912843	0.79082641	-1.4084507	0.2621232
0.004545455	-0.1643772631	-0.9415457	-0.60150376	-0.91503268
0.004466403	-0.5779947497	-0.83168317	-1.55068079	-2.24274406
0.004387352	-1.7741748697	-1.47763578	-2.03611218	1.48448043
0.0043083	1.2143648754	-1.86461289	2.47058824	-0.53191489
0.004347826	2.6115925822	0.57827344	3.52085725	3.60962567
0.004347826	-0.505165172	5.62628337	1.84842884	1.67741935
