id	sexo	sabor	aroma	cor	textu	utili	local	embal
83	1	3	4	2	4	4	5	4
84	1	4	5	3	5	4	5	2
85	1	1	2	3	2	5	4	5
86	0	5	5	4	5	5	5	5
87	0	3	4	2	4	2	3	1
88	1	2	3	1	3	4	5	3
89	0	5	5	4	5	4	5	5
90	1	4	5	3	5	2	3	2
91	1	5	5	4	5	4	5	5
92	1	5	5	4	5	3	4	1
93	0	2	3	1	3	2	3	2
94	1	4	5	3	5	5	5	4
95	1	2	3	1	3	3	4	2
96	1	3	4	2	4	5	3	5
97	0	3	4	2	4	2	3	2
98	1	5	5	4	5	4	5	5
99	1	5	5	4	5	2	3	1
100	0	2	3	1	3	3	4	4
101	1	3	4	2	4	3	4	3
102	1	1	2	3	2	5	4	5
103	0	5	5	4	5	3	4	3
104	1	1	2	3	2	5	4	5
105	1	3	4	2	4	3	4	3
106	1	1	2	3	2	4	5	4
107	0	2	3	1	3	2	3	2
108	1	1	2	2	2	5	5	5
109	0	5	5	4	5	3	4	3
110	0	1	2	2	2	2	3	2
111	0	3	4	2	4	2	3	3
112	1	5	5	4	5	4	5	4
113	0	5	5	4	5	5	4	5
114	0	5	5	4	5	3	4	4
115	0	3	4	2	4	4	5	4
116	0	5	5	4	5	3	4	4
117	0	5	5	4	5	5	5	5
118	0	5	5	4	5	3	4	4
119	1	5	5	4	5	3	4	3
120	0	4	5	3	5	5	4	5
121	0	2	3	1	3	4	5	4
122	0	1	2	2	2	4	5	4
123	0	1	2	2	2	3	4	4
124	0	5	5	4	5	3	4	3
125	1	4	5	3	5	3	4	3
126	0	4	5	3	5	5	4	5
127	0	1	2	2	2	4	5	4
128	0	3	4	2	4	2	3	2
129	0	2	3	1	3	3	4	3
130	0	5	5	4	5	5	4	5
131	0	5	5	4	5	3	4	3
132	1	5	5	4	5	2	3	3
133	0	2	3	1	3	2	3	2
134	1	1	2	3	2	2	3	2
135	0	3	4	2	4	5	5	5
136	1	1	2	3	2	5	5	5
137	1	3	4	2	4	3	4	3
138	0	1	2	3	2	4	5	4
139	0	4	5	3	5	3	4	3
140	0	4	5	3	5	3	4	3
141	0	2	3	1	3	5	5	5
142	0	2	3	2	3	4	5	4
143	1	1	2	3	2	3	4	3
144	1	4	5	3	5	1	2	1
145	0	3	4	2	4	4	5	5
146	1	2	3	1	3	3	4	4
147	0	4	5	3	5	5	5	5
148	1	4	5	3	5	3	4	3
149	0	2	3	1	3	4	5	4
150	1	1	2	3	2	2	3	2
151	0	3	4	2	4	4	5	5
152	1	4	5	3	5	4	5	5
153	0	2	3	1	3	2	3	3
154	0	2	3	1	3	3	4	4
155	0	4	5	3	5	2	3	3
156	1	2	3	1	3	4	5	5
157	1	5	5	4	5	5	5	5
158	1	5	5	4	5	3	4	4
159	0	2	3	1	3	2	3	3
160	0	1	2	2	2	2	3	3
161	0	2	3	1	3	3	4	4
162	0	5	5	4	5	3	4	4
163	0	2	3	1	3	5	4	4
164	0	1	2	3	2	5	4	4
165	0	1	2	2	2	4	5	5
166	1	5	5	4	5	3	4	4
167	1	1	2	2	2	3	4	4
168	0	4	5	3	5	4	5	5
169	0	2	3	1	3	2	3	3
170	0	1	2	2	2	4	5	5
171	0	3	4	2	4	4	5	5
172	0	4	5	3	5	4	5	5
173	1	2	3	1	3	3	4	4
174	0	5	5	4	5	4	5	5
175	1	4	5	3	5	3	4	4
176	0	1	2	3	2	3	4	4
177	1	3	4	2	4	4	5	5
178	1	2	3	1	3	4	5	5
179	0	3	4	2	4	1	2	2
180	1	4	5	3	5	4	5	5
181	1	5	5	4	5	3	4	4
182	0	2	3	1	3	3	4	4
183	0	2	3	1	3	3	4	4
184	0	2	3	1	3	4	5	5
185	1	4	5	3	5	4	5	5
186	0	3	4	2	4	3	4	4
187	0	1	2	2	2	3	4	4
188	1	4	5	3	5	4	5	5
189	0	5	5	4	5	3	4	4
190	0	3	4	2	4	2	3	3
191	1	3	4	2	4	2	3	3
192	1	1	2	2	2	4	5	5
193	0	1	2	2	2	3	4	4
194	0	3	4	2	4	5	4	4
195	0	3	4	2	4	1	2	2
196	1	4	5	3	5	4	5	5
197	1	1	2	1	2	2	3	3
198	0	2	3	1	3	2	3	3
199	0	2	3	1	3	2	3	3
200	1	4	5	3	5	2	3	3
