valorv	expos	tipov	idadev	sexoc	areac	idadec	nsinis	csinis
0.54	0.848733744	HBACK	4	F	D	3	1	389.94999981
6.359	0.7775496235	STNWG	1	M	C	4	1	200
1.26	0.6954140999	STNWG	3	F	B	2	1	498.34999943
1.1	0.6872005476	SEDAN	4	F	B	2	2	400
0.71	0.3559206023	HBACK	4	F	D	1	1	353.76999998
2.27	0.1451060917	SEDAN	1	F	C	2	1	200
1.1	0.3422313484	SEDAN	3	F	B	4	1	3070.8699951
1.24	0.4024640657	HBACK	3	M	A	5	1	200
1.13	0.8542094456	SEDAN	3	F	E	2	1	389.94999981
0.46	0.9034907598	SEDAN	4	M	B	3	1	265
1.3	0.9034907598	SEDAN	3	F	A	6	1	620.20999908
1.47	0.5229295003	SEDAN	2	F	D	6	1	461.24999809
1.51	0.9034907598	STNWG	4	F	E	3	1	3682.3299942
1.42	0.9226557153	SEDAN	3	F	C	4	1	6110.9799957
1.53	0.5092402464	PANVN	2	F	C	3	1	2458.3299942
1.66	0.2217659138	UTE	4	M	C	2	1	353.79999971
1.43	0.2135523614	SEDAN	2	F	A	1	1	391.30999994
1.81	0.9171800137	SEDAN	2	F	B	3	1	782.40999985
1.26	0.900752909	HBACK	2	M	C	6	1	5188.3199921
3.4	0.0109514031	STNWG	2	M	F	1	1	20890.579956
1.78	0.9226557153	HBACK	2	F	B	5	1	200
2.9	0.8459958932	SEDAN	1	F	C	5	1	270.73999977
4.27	0.900752909	STNWG	2	F	C	5	1	200
3.35	0.3312799452	TRUCK	2	F	F	2	1	389.94999981
3.3	0.7939767283	SEDAN	1	F	D	4	1	785.03999901
0.44	0.6160164271	HBACK	4	M	D	3	1	1438.2699966
3.33	0.6598220397	STNWG	3	F	B	3	1	1180.1099987
1.19	0.7446954141	SEDAN	3	F	A	2	1	1134
1.37	0.900752909	HBACK	1	M	A	2	1	200
2.06	0.2436687201	STNWG	3	M	E	2	1	2087.7799988
1.54	0.8459958932	HBACK	2	F	C	1	2	400.00999451
0.73	0.3312799452	HBACK	3	F	C	4	1	200
1.49	0.514715948	HBACK	1	F	A	5	1	1630.5499992
4.73	0.5256673511	STNWG	1	M	E	2	2	1642.6799965
1.36	0.900752909	SEDAN	3	F	A	6	1	696.20999908
3.549	0.9117043121	STNWG	1	M	B	6	1	542.64999962
2.63	0.900752909	SEDAN	1	M	D	5	1	3361.7299957
1.11	0.900752909	HBACK	3	F	D	4	1	507.8399992
2.22	0.900752909	SEDAN	1	F	C	4	1	367.72999954
0.99	0.900752909	SEDAN	4	M	A	5	1	820.78999901
2.2	0.7994524298	HBACK	1	F	B	6	1	1244.1599998
3.17	0.900752909	TRUCK	3	M	E	5	1	512
1.49	0.900752909	UTE	4	M	C	1	1	353.79999971
1.67	0.7556468172	HBACK	3	F	C	2	1	200
3.94	0.5831622177	STNWG	2	F	D	4	1	480
3.3	0.7967145791	UTE	2	M	E	1	1	1864.0899963
1.29	0.6954140999	SEDAN	3	M	C	3	1	635.09999943
2.12	0.8459958932	STNWG	3	F	E	3	1	3682.25
0.81	0.7446954141	HBACK	3	M	C	3	1	367.72999954
2.76	0.6954140999	STNWG	2	F	B	3	1	4460.769989
2.74	0.1451060917	STNWG	3	M	C	2	1	24718.179993
3.12	0.219028063	SEDAN	3	F	B	2	1	200
0.67	0.8980150582	SEDAN	4	F	C	6	1	523.53999996
0.92	0.8459958932	HBACK	3	F	A	3	1	200
1.86	0.9199178645	SEDAN	2	F	A	6	1	403.62999964
3.66	0.2819986311	STNWG	3	F	F	3	1	518.17999935
4.7	0.8459958932	STNWG	1	M	A	5	1	353.76999998
0.91	0.2108145106	STNWG	3	F	A	4	1	286.37999916
1.51	0.7802874743	SEDAN	3	F	B	1	1	4791.4799957
1.44	0.5119780972	STNWG	4	F	A	2	1	369.14999962
0.74	0.8980150582	SEDAN	4	M	A	2	1	2814.5899963
1.18	0.8980150582	SEDAN	3	F	A	4	1	200
1.38	0.6324435318	SEDAN	3	M	C	4	1	200
1.05	0.0985626283	SEDAN	3	F	C	5	1	8870.7199707
0.65	0.6351813826	SEDAN	4	F	E	4	1	200
2.76	0.5886379192	STNWG	1	F	A	3	1	200
1.59	0.2162902122	UTE	2	M	B	2	1	930.80999756
0.89	0.7830253251	TRUCK	4	M	C	3	1	353.79999971
0.98	0.0629705681	SEDAN	3	M	C	1	1	200
2.01	0.6242299795	PANVN	2	M	C	3	1	1417.2727242
2.75	0.1149897331	STNWG	1	F	D	1	1	200
0.85	0.8980150582	HBACK	3	F	B	1	1	1683.7799988
1.26	0.9171800137	HBACK	2	F	C	2	1	342.6400032
0.6	0.5092402464	HBACK	4	F	E	1	1	1820.3399963
4.349	0.2902121834	UTE	1	F	E	1	1	2246.0229988
1.03	0.8952772074	HBACK	4	F	D	3	1	200
1.74	0.5092402464	STNWG	4	M	C	2	1	200
1.54	0.3011635866	SEDAN	2	M	E	2	1	200
1.01	0.5092402464	HBACK	2	F	D	2	2	21769.65361
1.56	0.7091033539	HBACK	2	M	A	3	1	1265.4499969
1.13	0.6132785763	SEDAN	3	M	C	4	1	1656.4299965
1.95	0.6105407255	STNWG	3	M	D	4	1	470.1099987
1.8	0.6132785763	SEDAN	2	M	B	6	3	4076.8199968
0.43	0.6981519507	SEDAN	4	F	B	2	1	420
0.76	0.6105407255	HBACK	3	F	C	5	1	1426.0099983
3.18	0.3887748118	STNWG	2	F	A	5	2	2212.6899981
2.61	0.386036961	STNWG	2	F	A	4	1	200
2.11	0.5092402464	SEDAN	2	M	C	2	1	353.76999998
1.97	0.2683093771	SEDAN	2	F	C	4	1	200
1.48	0.2354551677	HBACK	1	M	D	1	1	9278.8599854
1.4	0.9171800137	SEDAN	3	F	C	3	1	200
0.84	0.59137577	HBACK	3	M	C	5	1	2669.8399963
1.35	0.5065023956	SEDAN	3	M	C	2	1	200
0.34	0.2162902122	HBACK	4	F	A	4	1	640.72727203
1.45	0.9911019849	UTE	4	M	E	1	1	390
1.23	0.5065023956	HBACK	2	F	D	2	1	3105.6999969
3.85	0.2162902122	STNWG	1	F	C	3	1	1747.4399986
2.12	0.6078028747	SEDAN	1	F	D	3	1	567.14999962
0.68	0.6078028747	HBACK	4	F	C	5	1	200
2.45	0.2135523614	SEDAN	1	M	C	6	1	909.64999962
1.39	0.0602327173	HBACK	1	M	A	6	1	200
2.33	0.59137577	STNWG	2	F	A	4	1	401.04999971
1.99	0.4079397673	SEDAN	2	F	E	3	1	450.04999971
2.33	0.6625598905	STNWG	3	F	F	3	1	200
0.93	0.8377823409	SEDAN	3	F	C	3	1	3744.5399933
0.79	0.8898015058	HBACK	4	M	B	2	1	1084.7799988
1.24	0.8377823409	HBACK	2	F	F	1	1	389.94999981
0.92	0.8377823409	HBACK	3	F	D	4	1	372.26999998
1.18	0.8377823409	TRUCK	4	M	B	5	1	438.5
1.21	0.2984257358	COUPE	4	M	B	3	1	200
0.9	0.8815879534	HBACK	3	F	A	3	1	683
2.16	0.5065023956	HBACK	1	F	B	2	1	200
1.28	0.7857631759	SEDAN	3	F	B	4	1	1454.0299988
1.65	0.8076659822	SEDAN	3	M	B	3	1	200
3.63	0.5065023956	STNWG	2	F	D	5	1	404.5454545
3.57	0.8350444901	UTE	1	M	A	2	1	200
1.19	0.8898015058	STNWG	4	M	B	4	1	567.94999981
3.45	0.9144421629	HDTOP	2	M	F	4	1	1347.329998
1.02	0.3997262149	SEDAN	4	M	C	4	1	200
1.23	0.7857631759	HBACK	2	F	C	2	1	353.76999998
4.25	0.3969883641	STNWG	2	M	B	4	1	353.76999998
1.349	0.5065023956	HBACK	1	F	B	1	1	200
1.99	0.3969883641	STNWG	4	M	A	3	1	359.5
1.67	0.295687885	HBACK	2	F	C	3	1	200
1.08	0.2135523614	HBACK	3	F	C	4	1	2370.9899979
1.17	0.5065023956	SEDAN	3	F	A	5	1	200
4.58	0.257357974	STNWG	1	M	D	2	2	1875.1399994
0.65	0.5065023956	SEDAN	4	M	C	2	1	200
0.79	0.3942505133	HBACK	3	F	C	1	1	353.76999998
1.55	0.5037645448	HBACK	1	F	C	5	1	2434.609993
0.39	0.3969883641	STNWG	4	F	C	4	1	359.5
0.95	0.6023271732	SEDAN	4	M	C	4	1	200
0.83	0.6023271732	STNWG	4	M	D	2	1	2326.4499969
2.61	0.6023271732	STNWG	4	F	E	5	1	376.62999964
1.29	0.0574948665	HDTOP	4	F	C	1	1	353.76999998
2.33	0.6050650239	UTE	2	M	C	6	1	3563.409996
0.39	0.5065023956	SEDAN	4	F	C	4	1	390
1.21	0.5995893224	HBACK	2	F	D	1	1	1702.7599983
0.9	0.5065023956	UTE	4	F	B	2	1	377.8499999
2.18	0.5065023956	SEDAN	2	M	C	4	1	748.44999886
0.74	0.3997262149	HBACK	4	F	B	5	1	947.75
0.97	0.3997262149	SEDAN	3	F	C	4	1	1657.9499969
1.66	0.3367556468	STNWG	4	F	F	4	1	13172.72998
1.428	0.6543463381	HBACK	1	M	A	4	1	200
3.4	0.6023271732	UTE	1	M	B	5	1	345
1.74	0.3969883641	SEDAN	1	M	B	2	1	579.31999969
1.73	0.629705681	SEDAN	2	F	C	4	1	200
1.45	0.8624229979	SEDAN	3	F	F	5	1	1210.9499989
2.79	0.4106776181	STNWG	2	M	F	3	1	1532.9299965
2.54	0.9144421629	TRUCK	3	M	D	2	1	1335.8199997
2.43	0.8350444901	SEDAN	1	M	B	2	1	5823.9499969
3.28	0.8323066393	STNWG	1	M	B	3	1	372.26999998
1.44	0.629705681	UTE	4	M	F	5	1	2418.8099976
1.73	0.629705681	HBACK	2	F	E	6	1	3931.25
0.86	0.8350444901	SEDAN	4	F	A	3	1	272.09000015
1.42	0.7665982204	SEDAN	3	M	A	3	1	200
2.999	0.8350444901	STNWG	1	M	D	1	1	200
4.85	0.1122518823	STNWG	2	M	B	4	1	1957.2299995
0.84	0.1642710472	HBACK	3	F	C	2	1	7796.3699951
0.99	0.7665982204	HBACK	3	F	C	2	1	353.76999998
1.61	0.295687885	HBACK	2	F	B	3	1	353.76999998
2.44	0.8843258042	SEDAN	1	M	A	6	1	1659.3799973
1.09	0.3230663929	STNWG	3	M	C	6	1	3725.4618225
1.08	0.8980150582	SEDAN	3	F	C	6	1	834.52999878
1.63	0.8980150582	HDTOP	3	F	B	3	1	1544.0899963
1.01	0.8980150582	HBACK	3	F	C	3	1	353.76999998
1.98	0.8980150582	STNWG	4	M	C	4	1	1020.5599995
0.92	0.476386037	HBACK	4	M	C	3	1	1449.1436348
1.559	0.7912388775	HBACK	1	F	C	1	1	393.79999971
4.11	0.887063655	STNWG	1	F	F	1	1	837.19999886
1.59	0.6269678302	SEDAN	3	M	A	4	1	696.47999954
2.41	0.8569472964	STNWG	3	M	A	5	1	385.0899992
1.28	0.1396303901	STNWG	4	F	C	5	1	4057.8099976
1.86	0.8569472964	HBACK	1	M	A	5	1	882.09999847
1.89	0.8596851472	SEDAN	2	F	D	4	1	1785.7399979
1.1	0.8569472964	SEDAN	3	F	C	3	1	353.76999998
1.82	0.7802874743	STNWG	2	M	C	4	1	1211.3499985
3.32	0.5037645448	STNWG	1	F	C	5	2	959.41999912
2.23	0.1423682409	SEDAN	1	F	B	4	1	1176.8099995
1.6	0.8596851472	HBACK	3	F	A	4	1	721.25999832
1.56	0.2710472279	HDTOP	4	M	D	2	1	252.38999939
1.12	0.8569472964	HBACK	3	M	C	4	1	221
2.29	0.4435318275	STNWG	3	F	E	3	1	2311.1899948
1.09	0.7885010267	SEDAN	4	F	A	2	1	861.15999985
2.2	0.7693360712	STNWG	2	M	C	2	1	1235.3699989
2.68	0.8843258042	SEDAN	1	F	E	4	1	200
2.5	0.8323066393	HDTOP	1	F	C	4	1	870.12999916
2.3	0.2080766598	STNWG	3	F	A	3	1	2287.7099991
2.34	0.772073922	MIBUS	4	F	E	4	2	1987.7999992
1.41	0.4900752909	SEDAN	2	F	A	1	1	3442.4636307
3.22	0.9993155373	UTE	2	F	C	1	2	3608.1799984
2.38	0.8295687885	STNWG	3	F	B	3	1	1076.1499996
0.58	0.1341546886	COUPE	4	F	A	6	1	3663.409996
1.61	0.8952772074	SEDAN	2	M	C	5	1	233.2699995
1.23	0.8952772074	HBACK	2	F	A	5	1	1140.1899986
0.44	0.8323066393	HBACK	4	F	C	2	1	2438.5799942
1.3	0.7145790554	HBACK	2	F	A	1	1	200
3.06	0.8323066393	STNWG	3	M	D	2	1	389.94999981
1.14	0.9062286105	UTE	4	M	C	4	2	2701.2199974
1.06	0.2655715263	HBACK	4	F	C	2	1	353.76999998
0.88	0.3942505133	SEDAN	3	F	D	6	1	616.80999947
5.27	0.3942505133	STNWG	2	F	D	6	1	250
1.78	0.3942505133	SEDAN	2	F	C	4	1	1522.2199974
1.65	0.605065024	SEDAN	2	F	B	3	1	4795.4899902
2.13	0.3942505133	SEDAN	2	F	C	6	1	200
0.81	0.4325804244	HBACK	4	F	D	2	1	7195.7799835
2.66	0.8651608487	STNWG	3	M	A	5	1	887.38999939
2.66	0.2874743326	STNWG	2	M	B	3	1	1233.4699974
4.8	0.8651608487	HDTOP	1	M	A	1	1	353.79999971
2.36	0.925393566	STNWG	3	F	C	2	1	462.25
0.71	0.9062286105	SEDAN	4	M	D	3	1	727.16999817
1.8	0.9062286105	STNWG	2	F	A	5	1	200
4.71	0.9993155373	STNWG	1	F	D	6	1	200
1.13	0.2436687201	SEDAN	3	F	A	1	1	408.12999964
2.24	0.8076659822	STNWG	3	M	B	2	1	200
1.29	0.4407939767	STNWG	4	F	F	3	1	404.5454545
1.31	0.8815879535	HBACK	1	M	A	5	1	200
1.25	0.8295687885	STNWG	4	M	D	4	1	482.89999962
0.4	0.8295687885	STNWG	4	M	B	3	1	384.5
4.42	0.501026694	TRUCK	1	M	D	4	1	1349.9399986
5.14	0.8158795346	STNWG	1	F	B	2	1	390
2.65	0.7036276523	SEDAN	2	F	C	4	1	810.64999962
0.73	0.1314168378	STNWG	4	M	A	4	1	353.13999987
1.24	0.8295687885	HBACK	2	F	B	4	1	508.11999989
1.22	0.9993155373	HBACK	3	F	C	4	1	472
0.64	0.772073922	HBACK	4	M	D	2	1	200
1.04	0.6981519507	HBACK	2	F	E	4	1	353.76999998
0.62	0.3203285421	UTE	4	M	A	1	1	4368.2999878
3.2	0.2984257358	STNWG	3	F	F	3	1	490.81999969
0.71	0.629705681	STNWG	4	F	A	2	1	271.72999954
3.98	0.6844626968	STNWG	2	M	F	4	1	1328.6799965
1.26	0.8295687885	HBACK	2	F	A	1	1	353.76999998
1.47	0.7748117728	UTE	4	M	C	3	1	200
1.82	0.5968514716	HBACK	2	M	D	6	1	1358.1099968
1.6	0.5968514716	SEDAN	2	F	D	3	1	3690.2899933
2.01	0.5968514716	HBACK	1	M	C	3	1	908.38999939
2.76	0.090349076	SEDAN	1	M	D	6	1	480
1.05	0.5968514716	PANVN	4	M	A	3	1	9301.8499756
3.29	0.8021902806	STNWG	1	M	B	5	1	3159.5299988
1.52	0.8788501027	SEDAN	2	M	A	2	1	404.30999756
1.2	0.4353182752	SEDAN	3	M	C	3	2	968.32999992
1.89	0.8815879535	SEDAN	2	F	E	4	1	4767.1099854
1.02	0.4928131417	HBACK	3	M	A	3	1	353.76999998
2.77	0.9226557153	STNWG	1	F	C	2	1	353.76999998
0.71	0.8268309377	STNWG	4	F	C	2	1	353.76999998
1.6	0.2847364819	UTE	3	M	A	3	1	3112.3199997
0.98	0.7145790554	HBACK	3	M	C	1	1	200
0.97	0.8268309377	SEDAN	3	F	E	5	2	4108.6999969
1.85	0.9965776865	SEDAN	1	M	B	4	1	1251
1.57	0.900752909	HBACK	2	F	B	6	1	200
1.15	0.8268309377	SEDAN	3	M	A	6	1	1502.0499992
4.64	0.3832991102	STNWG	1	F	B	2	1	1827.6399994
0.54	0.4928131417	COUPE	4	M	C	2	1	644.54999924
2.9	0.8268309377	SEDAN	1	F	C	5	1	600.5899992
3.47	0.386036961	STNWG	1	F	C	3	1	769.00999832
3.91	0.5366187543	UTE	1	M	E	3	1	3575.1799927
1.18	0.900752909	SEDAN	3	F	B	3	1	542.25
0.9	0.2929500342	SEDAN	3	M	C	4	1	1182.7099991
1.74	0.4928131417	STNWG	4	F	F	3	1	389.94999981
2.52	0.8268309377	TRUCK	3	M	B	2	1	345
0.37	0.4928131417	UTE	4	M	A	1	1	715.75999832
1.3	0.5503080082	SEDAN	3	F	C	4	1	1240.3399963
1.46	0.386036961	SEDAN	3	F	B	5	1	7160.6399994
3.97	0.6132785763	STNWG	2	F	E	5	1	389.94999981
0.54	0.386036961	HBACK	4	F	C	3	1	2655.6199951
1.73	0.4900752909	HBACK	1	F	A	2	1	2523.0236359
0.79	0.3915126626	TRUCK	3	F	D	1	1	390
0.84	0.8268309377	HBACK	3	F	C	4	1	4146.3499985
2.5	0.1204654346	UTE	3	M	C	4	1	1388.9699974
0.85	0.3258042437	HBACK	3	F	C	2	1	7614.7999878
2.66	0.5366187543	SEDAN	1	M	B	1	1	1730.6199989
0.78	0.8240930869	STNWG	4	M	A	4	1	1192.3399982
1.76	0.7748117728	HBACK	1	F	B	1	1	2821.909996
0.6	0.8980150582	SEDAN	4	M	A	4	1	1627.3499985
3.74	0.4928131417	STNWG	2	M	B	4	1	553.64999962
1.63	0.5338809035	HBACK	1	M	E	4	1	4927.0899963
1.42	0.8761122519	SEDAN	3	F	C	3	1	200
2.96	0.6160164271	STNWG	3	M	C	6	1	232.80000019
1.75	0.3093771389	STNWG	4	F	F	3	1	353.79999971
0.41	0.5941136208	STNWG	4	M	A	4	1	3087.3999939
1.2	0.5941136208	SEDAN	4	F	E	4	1	2640.6799927
1.03	0.5941136208	HBACK	2	F	E	2	1	200
0.53	0.5776865161	HBACK	4	M	C	6	1	6183.6356201
3.39	0.5941136208	STNWG	3	M	E	3	1	369.14999962
0.65	0.3258042437	MIBUS	4	F	C	4	1	353.76999998
0.39	0.4052019165	PANVN	4	F	C	4	1	353.79999971
1.38	0.5941136208	SEDAN	3	M	C	3	1	200.00363524
3.36	0.8021902806	STNWG	2	F	A	3	1	3852.5599976
1.399	0.6187542779	HBACK	1	M	B	3	1	200
1.27	0.8021902806	SEDAN	4	F	E	4	1	480
1.19	0.7036276523	SEDAN	3	F	C	2	1	5082.7799988
1.58	0.8788501027	SEDAN	3	M	C	2	1	353.76999998
1.46	0.8240930869	SEDAN	3	M	B	4	1	6814.8599854
3.56	0.8761122519	UTE	1	F	A	4	1	8624.6299744
0.41	0.8761122519	SEDAN	4	F	D	1	1	200
3.64	0.5366187543	STNWG	1	F	D	4	1	200
1.35	0.0657084189	HBACK	2	F	B	2	1	9552.6399536
0.63	0.8186173853	PANVN	4	M	B	3	1	8971.7799988
0.71	0.3586584531	SEDAN	4	F	C	3	1	8887.8499756
0.61	0.0219028063	SEDAN	4	F	A	5	1	5828.6299896
0.48	0.887063655	HBACK	4	M	B	5	1	200
2	0.8925393566	HBACK	1	F	B	6	1	329.69999981
2.43	0.8898015058	SEDAN	1	M	A	6	1	2988.159996
3.749	0.6598220397	STNWG	1	M	D	5	1	353.76999998
1.75	0.887063655	SEDAN	2	F	B	5	1	200
3.399	0.8898015058	STNWG	1	M	B	5	1	353.76999998
4.11	0.9993155373	STNWG	2	F	C	2	1	870.18999863
5.27	0.4818617385	STNWG	2	M	B	3	1	665.06999969
1.93	0.8925393566	SEDAN	2	M	C	2	1	200
2.82	0.887063655	STNWG	1	M	C	3	1	713.63999939
1.9	0.4845995893	UTE	2	M	D	2	1	6017.6499939
0.77	0.7310061602	HBACK	3	F	C	3	1	6264.4499817
1.83	0.8898015058	SEDAN	2	F	D	3	1	621.96999931
2.14	0.5284052019	STNWG	2	M	C	2	2	778.03999996
1.93	0.6516084873	SEDAN	2	M	A	4	2	553.76999998
0.43	0.5256673511	HBACK	4	M	A	4	1	200
2.2	0.8925393566	STNWG	3	F	D	4	1	353.76999998
0.51	0.8186173853	HBACK	4	F	C	1	1	2626.5999985
2.2	0.6132785763	HDTOP	3	M	C	4	1	610
1.57	0.8898015058	HBACK	2	M	A	6	1	200
2.55	0.8186173854	SEDAN	1	M	D	6	1	357.05999994
0.59	0.8925393566	SEDAN	4	M	A	2	2	5820.5399933
1.37	0.887063655	HBACK	3	M	A	4	1	736.93999863
3.55	0.3121149897	STNWG	3	M	C	3	1	370
1.59	0.1943874059	SEDAN	1	F	A	3	1	755.8599968
0.41	0.3148528405	HBACK	4	M	C	5	1	1391.9399986
1.65	0.1943874059	SEDAN	3	F	A	4	1	1581.579998
1.19	0.3778234086	HBACK	4	M	C	4	1	1551.5499992
2.73	0.7994524298	STNWG	3	F	B	4	1	389.76999998
3.4	0.6872005476	UTE	1	M	E	3	1	1580.2799988
0.58	0.2162902122	SEDAN	4	M	B	2	1	2063.6399994
1.36	0.6872005476	HBACK	3	F	C	1	1	4853.5
1.39	0.8186173853	HBACK	1	F	D	2	1	729.08999825
0.43	0.1040383299	SEDAN	4	M	C	4	1	200
1.1	0.8405201916	SEDAN	3	F	C	4	1	2295.4399948
1.51	0.6872005476	STNWG	4	F	C	1	1	5161.5599976
0.44	0.8158795346	HBACK	4	F	C	3	1	2460.2599945
2.35	0.7857631759	STNWG	3	F	C	3	1	601.7699995
3.3	0.6872005476	UTE	2	M	E	3	1	200.00000033
0.73	0.6652977413	HBACK	3	F	D	3	1	1753.2799988
1.36	0.2162902122	SEDAN	3	F	E	2	1	970.6799984
0.76	0.8706365503	PANVN	4	F	D	4	1	389.94999981
1.9	0.1943874059	STNWG	4	M	C	6	1	13753.149994
3.49	0.6872005476	STNWG	2	F	C	4	1	1404.3399963
1.06	0.4845995893	HBACK	4	F	C	1	1	1029.75
3.38	0.5174537988	STNWG	2	F	F	2	1	518.77999973
2.92	0.8706365503	STNWG	1	F	A	2	1	1854.6099968
1.85	0.4873374401	HBACK	1	M	C	2	1	771.5
2.01	0.1149897331	STNWG	3	F	A	5	1	349.25
4.27	0.8843258042	STNWG	2	F	B	4	1	917.04999924
3.59	0.8843258042	STNWG	2	M	C	4	1	544.5
1.77	0.8843258042	HDTOP	3	M	C	6	1	2808.8299942
0.65	0.1889117043	COUPE	4	F	C	3	1	4781.250885
2.099	0.9993155373	SEDAN	1	F	C	3	1	1013.3299999
0.76	0.3066392882	SEDAN	4	F	A	2	1	2714.0736313
3.64	0.9911019849	STNWG	2	M	B	4	1	353.76999998
1.55	0.8049281314	SEDAN	4	M	B	3	1	345
1.86	0.8158795346	HBACK	3	M	B	4	1	2777.0899963
0	0.9993155373	STNWG	4	F	B	2	2	1394.3299994
1.9	0.8131416838	SEDAN	1	F	B	5	1	752.83999825
0.35	0.8158795346	HBACK	4	F	A	5	1	200
2.59	0.9911019849	SEDAN	1	F	D	2	1	353.76999998
0.76	0.5776865161	HBACK	3	F	A	1	1	6692.8899994
3.1	0.8158795346	UTE	2	F	F	2	1	408.94999981
2.12	0.5256673511	SEDAN	2	F	C	4	1	378.8499999
0.87	0.7885010267	HBACK	3	F	B	2	1	353.76999998
0.54	0.4845995893	SEDAN	4	F	B	2	1	4003
1.16	0.9993155373	STNWG	4	M	A	2	1	345
1.75	0.4736481862	TRUCK	1	M	B	5	1	353.76999998
1.97	0.8733744011	SEDAN	2	F	F	5	1	389.94999981
4.9	0.1259411362	SEDAN	1	F	A	5	1	278.22000408
1.4	0.1259411362	HBACK	1	F	A	4	1	1100.1599998
4	0.9993155373	STNWG	3	F	F	4	1	390
1.428	0.8158795346	HBACK	1	F	A	3	1	481.96999931
1.8	0.514715948	STNWG	3	M	C	2	1	1549.9399986
1.22	0.6844626968	HBACK	2	F	C	2	1	475.65999985
2.41	0.0054757016	TRUCK	3	M	D	3	1	16306.819977
1.06	0.1259411362	STNWG	3	F	B	4	1	270.26998901
2.5	0.7638603696	STNWG	2	F	A	4	1	200
0.43	0.8678986995	HBACK	4	F	D	2	1	200
1.41	0.1177275838	HBACK	2	M	D	3	1	1684.6199989
2.25	0.205338809	SEDAN	1	F	C	6	1	2958.7299957
1.47	0.5256673511	SEDAN	3	F	A	1	1	2031.079998
1.05	0.8815879535	HBACK	2	F	C	4	1	200
2.71	0.501026694	STNWG	2	M	D	3	1	2262.3799973
