linha	coluna	inset	amostra	prop
2	8	9	1	0.962
3	8	2	1	0.8929
4	8	4	1	1
5	8	7	1	0.8571
6	8	6	1	0.8571
7	8	3	1	0.9867
8	8	10	1	0.963
9	8	11	1	0.9722
10	8	1	1	0.7931
11	8	5	1	0.6889
1	9	7	1	0.8
2	9	1	1	0.9219
3	9	5	1	0.8269
4	9	8	1	0.8824
5	9	3	1	1
6	9	10	1	0.8781
7	9	4	1	0.9702
8	9	11	1	0.913
9	9	6	1	0.7586
10	9	9	1	0.8889
11	9	2	1	0.8
1	10	3	1	0.8387
2	10	4	1	0.9531
3	10	7	1	1
4	10	1	1	0.9846
5	10	5	1	0.9039
6	10	8	1	0.9375
7	10	2	1	0.8478
8	10	9	1	0.9583
9	10	10	1	0.9231
10	10	6	1	0.8
11	10	11	1	1
1	11	1	1	0.75
2	11	7	1	0.931
3	11	4	1	0.9825
4	11	10	1	0.9057
5	11	9	1	0.95
6	11	3	1	0.9857
7	11	5	1	0.8864
8	11	6	1	0.8571
9	11	2	1	0.9048
10	11	11	1	0.913
11	11	8	1	1
1	1	2	2	0.88
2	1	6	2	0.6757
3	1	3	2	0.94
4	1	7	2	1
5	1	4	2	0.9111
6	1	11	2	0.8824
7	1	10	2	0.64
8	1	5	2	0.9091
9	1	1	2	1
10	1	8	2	0.9524
11	1	9	2	1
1	2	11	2	0.9024
2	2	3	2	0.9863
3	2	8	2	0.7593
4	2	9	2	1
5	2	1	2	0.8889
6	2	7	2	1
7	2	6	2	0.8333
8	2	4	2	0.9524
9	2	5	2	0.9556
10	2	2	2	0.8636
11	2	10	2	0.75
1	3	10	2	1
2	3	11	2	1
3	3	1	2	0.8621
4	3	2	2	0.9756
5	3	6	2	0.9348
6	3	5	2	0.8853
7	3	9	2	0.8636
8	3	8	2	0.8393
9	3	7	2	0.9556
10	3	4	2	0.9107
11	3	3	2	0.8983
1	4	9	2	1
2	4	5	2	0.8889
3	4	6	2	0.7381
4	4	3	2	1
5	4	11	2	0.9487
6	4	4	2	0.9857
7	4	1	2	0.9697
8	4	2	2	0.9265
9	4	8	2	0.8846
10	4	10	2	0.8421
11	4	7	2	0.9841
1	5	5	2	0.7111
2	5	8	2	0.7105
3	5	9	2	0.9778
4	5	6	2	0.8824
5	5	10	2	0.8611
6	5	2	2	0.8281
7	5	11	2	0.9167
8	5	7	2	0.9508
9	5	4	2	0.8824
10	5	3	2	0.85
11	5	1	2	0.76
1	6	4	2	0.8649
2	6	2	2	0.9383
3	6	10	2	0.9394
4	6	11	2	0.9821
5	6	8	2	1
6	6	1	2	0.8871
7	6	7	2	0.8667
8	6	3	2	0.9516
9	6	9	2	0.973
10	6	5	2	0.9091
11	6	6	2	0.7222
1	7	6	2	0.8929
2	7	10	2	0.8571
3	7	11	2	0.9756
4	7	5	2	0.8986
5	7	2	2	0.9643
6	7	9	2	0.9444
7	7	8	2	0.9592
8	7	1	2	0.913
9	7	3	2	1
10	7	7	2	0.7692
11	7	4	2	1
1	8	8	2	0.9524
2	8	9	2	0.9677
3	8	2	2	0.9778
4	8	4	2	0.9211
5	8	7	2	0.9492
6	8	6	2	0.7955
7	8	3	2	0.7353
8	8	10	2	0.8889
9	8	11	2	0.9032
10	8	1	2	0.8594
11	8	5	2	0.8
1	9	7	2	0.7097
2	9	1	2	0.6364
3	9	5	2	0.8621
4	9	8	2	0.8793
5	9	3	2	0.9608
6	9	10	2	0.8182
7	9	4	2	0.9032
8	9	11	2	1
9	9	6	2	0.8261
10	9	9	2	0.8409
11	9	2	2	1
1	10	3	2	0.9063
2	10	4	2	0.9054
3	10	7	2	0.963
4	10	1	2	0.9296
5	10	5	2	0.9787
6	10	8	2	1
7	10	2	2	0.8462
8	10	9	2	0.946
9	10	10	2	1
10	10	6	2	0.875
11	10	11	2	0.8387
1	11	1	2	0.7059
2	11	7	2	0.913
3	11	4	2	0.9216
4	11	10	2	0.8718
5	11	9	2	0.9706
6	11	3	2	0.8853
7	11	5	2	0.9737
8	11	6	2	0.7391
9	11	2	2	0.9722
10	11	11	2	0.9231
11	11	8	2	0.9615
1	1	2	3	0.9032
2	1	6	3	0.64
3	1	3	3	0.9804
4	1	7	3	0.8788
5	1	4	3	0.8472
6	1	11	3	0.9118
7	1	10	3	0.8182
8	1	5	3	0.8333
9	1	1	3	0.9535
10	1	8	3	0.9787
11	1	9	3	0.7931
1	2	11	3	0.8333
2	2	3	3	0.9875
3	2	8	3	0.9444
4	2	9	3	0.9375
5	2	1	3	0.9057
6	2	7	3	0.9677
7	2	6	3	0.8235
8	2	4	3	0.9492
9	2	5	3	0.9333
10	2	2	3	0.8889
11	2	10	3	0.9333
1	3	10	3	0.7188
2	3	11	3	0.9702
3	3	1	3	0.8542
4	3	2	3	1
5	3	6	3	0.8537
6	3	5	3	0.9149
7	3	9	3	0.942
8	3	8	3	0.9722
9	3	7	3	0.9298
10	3	4	3	0.9756
11	3	3	3	0.9091
1	4	9	3	0.8983
2	4	5	3	0.9434
3	4	6	3	0.7759
4	4	3	3	0.9811
5	4	11	3	1
6	4	4	3	0.9868
7	4	1	3	1
8	4	2	3	0.92
9	4	8	3	0.8947
10	4	10	3	0.9143
11	4	7	3	0.9388
1	5	5	3	0.8361
2	5	8	3	0.918
3	5	9	3	0.9467
4	5	6	3	0.6154
5	5	10	3	0.9615
6	5	2	3	0.9403
7	5	11	3	0.9057
8	5	7	3	0.9348
9	5	4	3	0.9808
10	5	3	3	0.8667
11	5	1	3	0.9434
1	6	4	3	0.9365
2	6	2	3	0.8955
3	6	10	3	0.8462
4	6	11	3	0.9737
5	6	8	3	0.9138
6	6	1	3	0.8431
7	6	7	3	0.7872
8	6	3	3	0.8833
9	6	9	3	1
10	6	5	3	0.7959
11	6	6	3	0.9575
1	7	6	3	0.25
2	7	10	3	0.8421
3	7	11	3	0.9787
4	7	5	3	0.975
5	7	2	3	0.9474
6	7	9	3	0.9859
7	7	8	3	0.9623
8	7	1	3	0.7931
9	7	3	3	0.9697
10	7	7	3	0.6818
11	7	4	3	0.9818
1	8	8	3	0.8158
2	8	9	3	0.9546
3	8	2	3	0.9677
4	8	4	3	0.9298
5	8	7	3	0.9583
6	8	6	3	0.9688
7	8	3	3	0.7857
8	8	10	3	1
9	8	11	3	0.9815
10	8	1	3	0.625
11	8	5	3	0.7679
1	9	7	3	0.9388
2	9	1	3	0.9091
3	9	5	3	0.8254
4	9	8	3	0.7647
5	9	3	3	0.9091
6	9	10	3	0.8611
7	9	4	3	0.9333
8	9	11	3	0.9744
9	9	6	3	0.8511
10	9	9	3	0.925
11	9	2	3	0.7679
1	10	3	3	0.8571
2	10	4	3	0.9623
3	10	7	3	0.9556
4	10	1	3	0.8548
5	10	5	3	0.7755
6	10	8	3	0.8571
7	10	2	3	0.8966
8	10	9	3	1
9	10	10	3	0.9706
10	10	6	3	0.8824
11	10	11	3	0.8085
1	11	1	3	0.65
2	11	7	3	1
3	11	4	3	0.9702
4	11	10	3	0.9231
5	11	9	3	0.95
6	11	3	3	0.9286
7	11	5	3	0.9583
8	11	6	3	1
9	11	2	3	0.8254
10	11	11	3	0.7308
11	11	8	3	0.9184
1	1	2	4	0.875
2	1	6	4	0.7895
3	1	3	4	0.9828
4	1	7	4	0.875
5	1	4	4	0.8085
6	1	11	4	0.8409
7	1	10	4	0.7037
8	1	5	4	0.8571
9	1	1	4	0.9546
10	1	8	4	1
11	1	9	4	1
1	2	11	4	0.7778
2	2	3	4	0.9259
3	2	8	4	0.9767
4	2	9	4	0.7917
5	2	1	4	0.9231
6	2	7	4	0.9672
7	2	6	4	0.8
8	2	4	4	0.9851
9	2	5	4	0.871
10	2	2	4	0.9524
11	2	10	4	0.4375
1	3	10	4	0.8846
2	3	11	4	0.9167
3	3	1	4	0.9804
4	3	2	4	1
5	3	6	4	0.963
6	3	5	4	0.8571
7	3	9	4	0.9259
8	3	8	4	0.946
9	3	7	4	0.8833
10	3	4	4	0.7761
11	3	3	4	0.9091
1	4	9	4	0.8966
2	4	5	4	0.8226
3	4	6	4	0.9245
4	4	3	4	0.9722
5	4	11	4	0.9592
6	4	4	4	0.9683
7	4	1	4	0.9565
8	4	2	4	0.9167
9	4	8	4	0.9474
10	4	10	4	0.8214
11	4	7	4	0.8039
1	5	5	4	0.8
2	5	8	4	0.9298
3	5	9	4	1
4	5	6	4	0.9778
5	5	10	4	1
6	5	2	4	0.9136
7	5	11	4	0.9091
8	5	7	4	0.9167
9	5	4	4	0.9016
10	5	3	4	0.6613
11	5	1	4	0.8387
1	6	4	4	0.9667
2	6	2	4	0.8919
3	6	10	4	0.9706
4	6	11	4	0.9231
5	6	8	4	0.9286
6	6	1	4	0.9778
7	6	7	4	0.9531
8	6	3	4	0.9667
9	6	9	4	0.9825
10	6	5	4	0.8936
11	6	6	4	0.7167
1	7	6	4	0.6667
2	7	10	4	0.9057
3	7	11	4	0.9184
4	7	5	4	0.92
5	7	2	4	0.9302
6	7	9	4	0.9355
7	7	8	4	0.9362
8	7	1	4	0.9348
9	7	3	4	0.8163
10	7	7	4	0.8289
11	7	4	4	0.8636
1	8	8	4	0.5714
2	8	9	4	1
3	8	2	4	0.9589
4	8	4	4	0.9891
5	8	7	4	0.9846
6	8	6	4	0.907
7	8	3	4	0.9677
8	8	10	4	0.9268
9	8	11	4	0.902
10	8	1	4	0.9722
11	8	5	4	0.7174
1	9	7	4	0.7941
2	9	1	4	0.7344
3	9	5	4	0.8781
4	9	8	4	0.9048
5	9	3	4	0.9718
6	9	10	4	0.946
7	9	4	4	0.76
8	9	11	4	0.8857
9	9	6	4	0.9655
10	9	9	4	0.7674
11	9	2	4	0.7636
1	10	3	4	0.6071
2	10	4	4	0.9114
3	10	7	4	0.9524
4	10	1	4	0.9841
5	10	5	4	0.9737
6	10	8	4	0.9661
7	10	2	4	0.92
8	10	9	4	0.9365
9	10	10	4	0.72
10	10	6	4	0.8261
11	10	11	4	1
1	11	1	4	0.3529
2	11	7	4	0.8491
3	11	4	4	0.9273
4	11	10	4	0.8889
5	11	9	4	0.9697
6	11	3	4	0.9575
7	11	5	4	0.9375
8	11	6	4	0.8462
9	11	2	4	0.9016
10	11	11	4	0.8929
11	11	8	4	0.881
